title,detail_title,job_url,company,company_name_full,company_url,company_url_from_job,salary_list,detail_salary,address_list,detail_location,exp_list,detail_experience,deadline,working_addresses,working_times,desc_mota,desc_yeucau,desc_quyenloi,skills,company_website,company_size,company_industry,company_address,company_description,source,id,site,job_url_direct,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
"Manual/Automation Tester (QA/QC, Python, JavaScript)","Manual/Automation Tester (QA/QC, Python, JavaScript)",https://itviec.com/it-jobs/manual-automation-tester-qa-qc-python-javascript-mitek-viet-nam-2351?lab_feature=preview_jd_page,,,,,,Login to view,"['Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, Phường Tân Thuận, District 7, Ho Chi Minh']","Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, Phường Tân Thuận, District 7, Ho Chi Minh",,,,"Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, Phường Tân Thuận, District 7, Ho Chi Minh",,,,,"QA QC, Automation Test, Tester, JavaScript, Python, English",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer (Golang/Python/C# Unity/Machine Learning),AI Engineer (Golang/Python/C# Unity/Machine Learning),https://itviec.com/it-jobs/ai-engineer-golang-python-c-unity-machine-learning-zyneric-5600?lab_feature=preview_jd_page,,,,,,Login to view,"['Tầng 6, tòa nhà LK, 399 Cộng Hòa, Tan Binh, Ho Chi Minh']","Tầng 6, tòa nhà LK, 399 Cộng Hòa, Tan Binh, Ho Chi Minh",,,,"Tầng 6, tòa nhà LK, 399 Cộng Hòa, Tan Binh, Ho Chi Minh",,,,,"AI, Machine Learning, Unity, C#, Golang, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BackEnd Engineer (NodeJS,NestJS,Python,AI) ~ 4000$","BackEnd Engineer (NodeJS,NestJS,Python,AI) ~ 4000$",https://itviec.com/it-jobs/backend-engineer-nodejs-nestjs-python-ai-4000-homebase-vietnam-1142?lab_feature=preview_jd_page,,,,,,Login to view,"['Circo Co-working Space, H3 Building, 384 Hoang Dieu, District 4, Ho Chi Minh']","Circo Co-working Space, H3 Building, 384 Hoang Dieu, District 4, Ho Chi Minh",,,,"Circo Co-working Space, H3 Building, 384 Hoang Dieu, District 4, Ho Chi Minh",,,,,"NodeJS, NestJS, AI, SQL, Python, English",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Middle & Senior Data Engineer (Python, SQL, AI)","Middle & Senior Data Engineer (Python, SQL, AI)",https://itviec.com/it-jobs/middle-senior-data-engineer-python-sql-ai-galaxy-holdings-3056?lab_feature=preview_jd_page,,,,,,Login to view,"['Galaxy Innovation Hub, đường D1, Khu Công nghệ cao, Thành phố Thủ Đức, TP HCM, Thu Duc City, Ho Chi Minh']","Galaxy Innovation Hub, đường D1, Khu Công nghệ cao, Thành phố Thủ Đức, TP HCM, Thu Duc City, Ho Chi Minh",,,,"Galaxy Innovation Hub, đường D1, Khu Công nghệ cao, Thành phố Thủ Đức, TP HCM, Thu Duc City, Ho Chi Minh",,,,,"Data Engineer, Data modeling, SQL, AI, ETL, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senior Data Engineer (Cloud, Go, Python, Scala)","Senior Data Engineer (Cloud, Go, Python, Scala)",https://itviec.com/it-jobs/senior-data-engineer-chotot-2114?lab_feature=preview_jd_page,,,,,,Login to view,"['UOA Tower - 6 Tan Trao, Tan Phu, District 7, Ho Chi Minh']","UOA Tower - 6 Tan Trao, Tan Phu, District 7, Ho Chi Minh",,,,"UOA Tower - 6 Tan Trao, Tan Phu, District 7, Ho Chi Minh",,,,,"Data Engineer, Scala, Python, Golang, Google Cloud, Google BigQuery",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lead Data Engineer (Databricks, Python, SQL)","Lead Data Engineer (Databricks, Python, SQL)",https://itviec.com/it-jobs/lead-data-engineer-databricks-python-sql-thoughtworks-vietnam-1655?lab_feature=preview_jd_page,,,,,,Login to view,"['15th Floor, Pearl 5, 5 Le Quy Don, Vo Thi Sau Ward, District 3, Ho Chi Minh']","15th Floor, Pearl 5, 5 Le Quy Don, Vo Thi Sau Ward, District 3, Ho Chi Minh",,,,"15th Floor, Pearl 5, 5 Le Quy Don, Vo Thi Sau Ward, District 3, Ho Chi Minh",,,,,"Data Engineer, Software Architecture, Big Data, Spark, Databricks, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sr. Full Stack Software Engineer (Python, JavaScript)","Sr. Full Stack Software Engineer (Python, JavaScript)",https://itviec.com/it-jobs/sr-full-stack-software-engineer-python-javascript-haskoning-vietnam-3424?lab_feature=preview_jd_page,,,,,,Login to view,"['1st Floor and 6th Floor, The Vista Tower, 628C Vo Nguyen Giap, An Khanh Ward, Ho Chi Minh City, Vietnam, Thu Duc City, Ho Chi Minh']","1st Floor and 6th Floor, The Vista Tower, 628C Vo Nguyen Giap, An Khanh Ward, Ho Chi Minh City, Vietnam, Thu Duc City, Ho Chi Minh",,,,"1st Floor and 6th Floor, The Vista Tower, 628C Vo Nguyen Giap, An Khanh Ward, Ho Chi Minh City, Vietnam, Thu Duc City, Ho Chi Minh",,,,,"Python, TypeScript, VueJS, JavaScript, Azure, DevOps",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lead Data Engineer (Python, Data Warehouse, PostgreSQL)","Lead Data Engineer (Python, Data Warehouse, PostgreSQL)",https://itviec.com/it-jobs/lead-data-engineer-python-data-warehouse-postgresql-ahamove-3106?lab_feature=preview_jd_page,,,,,,Login to view,"['Tòa nhà Rivera Park 7/28 Thành Thái, District 10, Ho Chi Minh']","Tòa nhà Rivera Park 7/28 Thành Thái, District 10, Ho Chi Minh",,,,"Tòa nhà Rivera Park 7/28 Thành Thái, District 10, Ho Chi Minh",,,,,"Data Engineer, Big Data, Data Warehousing, Database, PostgreSql, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Lead (TypeScript / Python / NodeJS / Java),Technical Lead (TypeScript / Python / NodeJS / Java),https://itviec.com/it-jobs/technical-lead-typescript-python-nodejs-java-hds-services-vietnam-0052?lab_feature=preview_jd_page,,,,,,Login to view,"[""Toà nhà L'Mak, Số 68 Đường Phan Đăng Lưu, Phường 5, Phu Nhuan, Ho Chi Minh""]","Toà nhà L'Mak, Số 68 Đường Phan Đăng Lưu, Phường 5, Phu Nhuan, Ho Chi Minh",,,,"Toà nhà L'Mak, Số 68 Đường Phan Đăng Lưu, Phường 5, Phu Nhuan, Ho Chi Minh",,,,,"TypeScript, Leadership, Java, NodeJS, JavaScript, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senior Full Stack Engineer (Python, React)","Senior Full Stack Engineer (Python, React)",https://itviec.com/it-jobs/senior-full-stack-engineer-python-react-dataxight-4850?lab_feature=preview_jd_page,,,,,,Login to view,"['XL Building, 167 Trần Não, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh. (Quận 2 Cũ), Thu Duc City, Ho Chi Minh']","XL Building, 167 Trần Não, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh. (Quận 2 Cũ), Thu Duc City, Ho Chi Minh",,,,"XL Building, 167 Trần Não, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh. (Quận 2 Cũ), Thu Duc City, Ho Chi Minh",,,,,"Python, Database, English, Microservices, AWS, ReactJS",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
